Sp,Binary,Ensemble.2,EnsembleBinary
Acerodon celebensis,1,0.3135420046794871,TRUE
Rhinolophus denti,0,0.3315939953046495,TRUE
Rhinolophus formosae,0,0.3314213591881649,TRUE
Artibeus phaeotis,1,0.5049584300782366,FALSE
Chaerephon ansorgei,0,0.31957632133489017,TRUE
Eptesicus furinalis,0,0.5857951601403837,FALSE
Arielulus aureocollaris,0,0.30530853755676257,TRUE
Eptesicus tatei,0,0.3217977540337699,TRUE
Rhinolophus robinsoni,0,0.33270720598391634,TRUE
Molossus rufus,0,0.48814721176125636,FALSE
Rousettus bidens,0,0.3246251452913173,TRUE
Styloctenium wallacei,0,0.31711757733919244,TRUE
Myotis bocagii,0,0.29111409035844465,TRUE
Pteropus neohibernicus,0,0.5964147881238756,FALSE
Cynopterus luzoniensis,0,0.3345939965912511,TRUE
Nycteris gambiensis,1,0.5229049272156227,FALSE
Nyctinomops macrotis,0,0.5916420069891685,FALSE
Harpyionycteris celebensis,0,0.3269080255955563,TRUE
Myotis lucifugus,0,0.5097225814407101,FALSE
Taphozous mauritianus,0,0.31095953639309004,TRUE
Epomophorus angolensis,0,0.33775253897357455,TRUE
Glauconycteris argentata,0,0.5099802788209603,FALSE
Pteropus chrysoproctus,0,0.3373961307237483,TRUE
Nyctimene minutus,0,0.34430565713088385,TRUE
Pteropus niger,0,0.3410645904142124,TRUE
Pipistrellus endoi,0,0.34371565448293906,TRUE
Myotis septentrionalis,0,0.5329960472824893,FALSE
Rousettus obliviosus,0,0.3483488883617921,TRUE
Pteropus mariannus,0,0.3422181375184163,TRUE
Cynopterus nusatenggara,0,0.3523334255525999,TRUE
Lasionycteris noctivagans,0,0.6298621032472433,FALSE
Hypsugo bodenheimeri,0,0.3262510041520113,TRUE
Pteropus caniceps,0,0.34312256023268484,TRUE
Rhinopoma macinnesi,0,0.34402773825130695,TRUE
Nycteris hispida,0,0.3291407412405962,TRUE
Rhinolophus celebensis,0,0.35564351544445,TRUE
