"Sp","Betacov","R.Alb","R.Car3","R.Gut1","Rank","PropRank","InSample"
"Hipposideros commersoni",1,0.941932168550874,0.032258064516129,0.00627240143369176,231.75,0.461959159984198,1
"Chiroderma salvini",0,0.667523124357657,0.396953405017921,0.32168458781362,483.833333333333,0.462053705729733,0
"Mops nanulus",0,0.587872559095581,0.275985663082437,0.525985663082437,489,0.463281295086818,0
"Alionycteris paucidentata",0,0.525179856115108,0.323476702508961,0.544802867383513,493.333333333333,0.46448647533586,0
"Myonycteris brachycephala",0,0.273895169578623,0.371863799283154,0.75,506.166666666667,0.465252989620592,0
"Pteropus poliocephalus",0,0.530832476875642,0.564516129032258,0.310035842293907,270.5,0.466153869123911,1
"Dobsonia magna",0,NA,0.462365591397849,0.470430107526882,520.5,0.466397849462366,0
"Pteropus livingstonii",0,NA,0.476702508960573,0.457885304659498,521.5,0.467293906810036,0
"Hipposideros jonesi",0,0.638232271325797,0.206093189964158,0.560931899641577,492.333333333333,0.46841912031051,0
"Chaerephon chapini",0,0.405960945529291,0.422939068100358,0.577060931899642,503.666666666667,0.468653648509764,0
"Nyctimene albiventer",0,0.494347379239466,0.405017921146953,0.507168458781362,499.666666666667,0.46884458638926,0
"Myopterus whitleyi",0,0.660842754367934,0.276881720430108,0.472222222222222,493,0.469982232340088,0
"Kerivoula phalaena",0,0.221993833504625,0.304659498207885,0.883512544802867,514,0.470055292171792,0
"Syconycteris carolinae",0,0.501027749229188,0.496415770609319,0.413082437275986,500.833333333333,0.470175319038164,0
"Pipistrellus westralis",0,0.294964028776978,0.550179211469534,0.568100358422939,511.666666666667,0.471081199556484,0
"Myotis nipalensis",0,0.142857142857143,0.901433691756272,0.374551971326165,521,0.47294760197986,0
"Nyctophilus arnhemensis",0,0.546762589928058,0.42741935483871,0.445340501792115,502,0.473174148852961,0
"Kerivoula flora",0,0.386433710174717,0.508064516129032,0.525089605734767,509.666666666667,0.473195944012839,0
"Myonycteris torquata",0,0.118191161356629,0.021505376344086,0.122759856630824,144.75,0.473532758635309,1
"Pipistrellus maderensis",0,0.408530318602261,0.224014336917563,0.791218637992832,510.166666666667,0.474587764504218,0
"Rhinolophus siamensis",0,0.0822199383350462,0.953853046594982,0.388888888888889,526.166666666667,0.474987291272972,0
"Hipposideros beatus",0,0.595580678314491,0.236559139784946,0.598566308243728,503.833333333333,0.476902042114388,0
"Pteropus subniger",0,NA,0.670250896057348,0.28405017921147,532.5,0.477150537634409,0
"Epomops dobsonii",0,0.0868448098663926,0.145161290322581,0.337813620071685,165.214285714286,0.477353323366821,1
"Myopterus daubentonii",0,0.63617677286742,0.211469534050179,0.587813620071685,503.666666666667,0.478486642329761,0
"Neoromicia zuluensis",0,0.189105858170606,0.439068100358423,0.811827956989247,526.666666666667,0.480000638506092,0
"Pteropus macrotis",0,0.450154162384378,0.525089605734767,0.46594982078853,514.666666666667,0.480397862969225,0
"Scotorepens greyii",0,0.542651593011305,0.434587813620072,0.468637992831541,512,0.481959133154306,0
"Laephotis botswanae",0,0.205549845837616,0.460573476702509,0.780465949820789,528.333333333333,0.482196424120304,0
"Pteropus voeltzkowi",0,NA,0.46415770609319,0.502688172043011,539.5,0.4834229390681,0
"Dobsonia emersa",0,0.423946557040082,0.552867383512545,0.474014336917563,519.5,0.483609425823397,0
"Myotis ozensis",0,NA,0.528673835125448,0.439964157706093,540.5,0.484318996415771,0
"Nyctophilus geoffroyi",0,0.41726618705036,0.516129032258065,0.521505376344086,521.333333333333,0.484966865217503,0
"Myotis volans",0,0.441932168550874,0.799283154121864,0.796594982078853,354.214285714286,0.485557917115282,1
"Dobsonia chapmani",0,NA,0.687275985663082,0.28494623655914,542.5,0.486111111111111,0
"Pteropus aldabrensis",0,NA,0.456093189964158,0.517025089605735,543,0.486559139784946,0
"Pteropus pilosus",0,NA,0.690860215053763,0.28584229390681,545,0.488351254480287,0
"Nyctimene robinsoni",0,0.574511819116136,0.474910394265233,0.417562724014337,518.333333333333,0.488994979131902,0
"Nyctalus furvus",0,0.609969167523124,0.537634408602151,0.31989247311828,516.833333333333,0.489165349747851,0
"Vespertilio murinus",0,0.13360739979445,0.0958781362007168,0.0385304659498208,130.357142857143,0.490200261245234,1
"Mops niveiventer",0,0.641829393627955,0.335125448028674,0.493727598566308,516.5,0.490227480074312,0
"Scotophilus collinus",0,0.179856115107914,0.901433691756272,0.3915770609319,539.333333333333,0.490955622598695,0
"Pteropus loochoensis",0,0.411613566289825,0.702508960573477,0.360215053763441,528.833333333333,0.491445860208914,0
"Acerodon humilis",0,NA,0.553763440860215,0.42921146953405,548.5,0.491487455197133,0
"Glauconycteris superba",0,NA,0.279569892473118,0.704301075268817,549,0.491935483870968,0
"Rhinolophus rouxii",0,0.12589928057554,0.119175627240143,0.163978494623656,148.357142857143,0.492069496186497,1
"Hipposideros megalotis",0,0.558067831449126,0.338709677419355,0.580645161290323,523,0.492474223386268,0
"Dobsonia beauforti",0,0.515930113052415,0.466845878136201,0.496415770609319,525.666666666667,0.493063920599312,0
"Tadarida teniotis",0,0.248715313463515,0.0224014336917563,0.0268817204301075,132.642857142857,0.493921040926145,1
"Glauconycteris egeria",0,0.285200411099692,0.398745519713262,0.798387096774194,537.833333333333,0.494111009195716,0
"Rhinolophus hillorum",0,0.400308324768756,0.341397849462366,0.741039426523297,532.5,0.494248533584806,0
"Enchisthenes hartii",0,0.697841726618705,0.416666666666667,0.372759856630824,520,0.495756083305399,0
"Nycteris major",0,0.741007194244604,0.310931899641577,0.436379928315412,518.333333333333,0.496106340733865,0
"Pteropus pohlei",0,0.386433710174717,0.57168458781362,0.531362007168459,535.666666666667,0.496493435052265,0
"Nyctophilus timoriensis",0,0.496916752312436,0.445340501792115,0.548387096774194,530.833333333333,0.496881450292915,0
"Eptesicus dimissus",0,0.578108941418294,0.362903225806452,0.550179211469534,527.166666666667,0.497063792898093,0
"Murina rozendaali",0,0.323227132579651,0.470430107526882,0.698028673835125,539.5,0.497228637980553,0
"Rhinolophus keyensis",0,0.530832476875642,0.439964157706093,0.522401433691756,530.166666666667,0.497732689424497,0
"Hipposideros obscurus",0,0.801130524152107,0.365591397849462,0.327956989247312,517.833333333333,0.498226303749627,0
"Eumops glaucinus",1,0.837615621788284,0.560931899641577,0.32078853046595,303.714285714286,0.498542455072482,1
