"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Lontra canadensis",0,0.570305052430887,0.402816901408451,0.164788732394366,1,0.346863468634686,651.4,0.496954830973678,1
"Mandrillus sphinx",0,0.573403241182078,0.695774647887324,0.28169014084507,NA,0.437269372693727,834.25,0.49703435065205,1
"Potos flavus",0,0.461034318398475,0.513380281690141,0.436619718309859,NA,0.586715867158672,731.75,0.499437546389287,1
"Peromyscus leucopus",0,0.605576739752145,0.240845070422535,0.225352112676056,1,0.437269372693727,676.4,0.501808659108893,1
"Gazella gazella",0,0.562202097235462,0.723943661971831,0.284507042253521,NA,0.437269372693727,828,0.501980543538635,1
"Chlorocebus sabaeus",0,0.539680648236416,0.815492957746479,0.21830985915493,NA,0.437269372693727,808.875,0.502688209457888,1
"Aotus trivirgatus",0,0.680529075309819,0.530985915492958,0.0577464788732394,1,0.252767527675277,736.7,0.504405799470259,1
"Papio anubis",0,0.426239275500477,0.594366197183099,0.188732394366197,1,0.346863468634686,561.1,0.511240267136892,1
"Mus booduga",0,0.25893708293613,0.416197183098592,0.294366197183099,1,0.586715867158672,436.4,0.511243266075298,1
"Gorilla beringei",0,0.669566253574833,0.867605633802817,0.161971830985915,NA,0.346863468634686,932.125,0.511501796749563,1
"Canis simensis",0,0.536105815061964,0.384507042253521,0.202816901408451,1,0.437269372693727,635.3,0.512139826283532,1
"Rattus tiomanicus",0,0.249880838894185,0.914788732394366,0.297183098591549,NA,0.586715867158672,556.75,0.512142134259693,1
"Cephalophus weynsi",0,0.299571020019066,0.7,0.464788732394366,NA,0.586715867158672,600.5,0.512768904893026,1
"Ursus maritimus",0,0.562202097235462,0.77887323943662,0.276056338028169,NA,0.437269372693727,836.25,0.513600261848494,1
"Choloepus hoffmanni",0,0.949833174451859,0.12112676056338,0.153521126760563,1,0.346863468634686,928.3,0.514268906082098,1
"Hydropotes inermis",1,0.335200190657769,0.566197183098592,0.983098591549296,NA,0.174354243542435,650.25,0.514712552212023,1
"Nanger granti",0,0.375119161105815,0.522535211267606,0.243661971830986,1,0.437269372693727,525.6,0.515717143379627,1
"Gerbilliscus kempi",0,0.390610104861773,0.490140845070423,0.267605633802817,1,0.437269372693727,537.4,0.517125191285748,1
"Antilope cervicapra",0,0.380719733079123,0.66830985915493,0.433802816901408,NA,0.586715867158672,674.5,0.517387069073533,1
"Philander opossum",0,NA,0.387323943661972,0.246478873239437,1,0.437269372693727,240,0.517768047398784,1
"Macropus robustus",0,NA,0.492253521126761,0.476056338028169,NA,0.586715867158672,335.166666666667,0.5183419087712,1
"Ichneumia albicauda",0,0.261439466158246,0.316901408450704,0.426760563380282,1,0.586715867158672,443.2,0.518363461029581,1
"Diceros bicornis",0,0.313512869399428,0.707042253521127,0.467605633802817,NA,0.586715867158672,616.875,0.518719155970511,1
