"","unique_name","betacov","sarbecov","preds_allbetacov","preds_sarbecovirus"
"Taphozous_mauritianus","Taphozous_mauritianus",0,0,0.047112462681757,0.00204290091930575
"Taphozous_perforatus","Taphozous_perforatus",1,0,0.047112462681757,0.00204290091930575
"Taphozous_melanopogon","Taphozous_melanopogon",0,0,0.047112462681757,0.00204290091930575
"Taphozous_achates","Taphozous_achates",0,0,0.047112462681757,0.00204290091930575
"Mosia_nigrescens","Mosia_nigrescens",0,0,0.047112462681757,0.00204290091930575
"Emballonura_atrata","Emballonura_atrata",0,0,0.047112462681757,0.00204290091930575
"Emballonura_beccarii","Emballonura_beccarii",0,0,0.047112462681757,0.00204290091930575
"Emballonura_dianae","Emballonura_dianae",0,0,0.047112462681757,0.00204290091930575
"Emballonura_furax","Emballonura_furax",0,0,0.047112462681757,0.00204290091930575
"Emballonura_raffrayana","Emballonura_raffrayana",0,0,0.047112462681757,0.00204290091930575
"Emballonura_semicaudata","Emballonura_semicaudata",0,0,0.047112462681757,0.00204290091930575
"Coleura_afra","Coleura_afra",0,0,0.047112462681757,0.00204290091930575
"Coleura_seychellensis","Coleura_seychellensis",0,0,0.047112462681757,0.00204290091930575
"Emballonura_alecto","Emballonura_alecto",0,0,0.047112462681757,0.00204290091930575
"Emballonura_monticola","Emballonura_monticola",0,0,0.047112462681757,0.00204290091930575
"Rhynchonycteris_naso","Rhynchonycteris_naso",0,0,0.047112462681757,0.00204290091930575
"Cyttarops_alecto","Cyttarops_alecto",0,0,0.047112462681757,0.00204290091930575
"Diclidurus_isabellus","Diclidurus_isabellus",0,0,0.047112462681757,0.00204290091930575
"Diclidurus_scutatus","Diclidurus_scutatus",0,0,0.047112462681757,0.00204290091930575
"Diclidurus_albus","Diclidurus_albus",0,0,0.047112462681757,0.00204290091930575
"Diclidurus_ingens","Diclidurus_ingens",0,0,0.047112462681757,0.00204290091930575
"Centronycteris_maximiliani","Centronycteris_maximiliani",0,0,0.047112462681757,0.00204290091930575
"Centronycteris_centralis","Centronycteris_centralis",0,0,0.047112462681757,0.00204290091930575
"Cormura_brevirostris","Cormura_brevirostris",0,0,0.047112462681757,0.00204290091930575
"Saccopteryx_bilineata","Saccopteryx_bilineata",0,0,0.047112462681757,0.00204290091930575
"Saccopteryx_leptura","Saccopteryx_leptura",0,0,0.047112462681757,0.00204290091930575
"Saccopteryx_gymnura","Saccopteryx_gymnura",0,0,0.047112462681757,0.00204290091930575
"Saccopteryx_canescens","Saccopteryx_canescens",0,0,0.047112462681757,0.00204290091930575
"Balantiopteryx_io","Balantiopteryx_io",0,0,0.047112462681757,0.00204290091930575
"Balantiopteryx_infusca","Balantiopteryx_infusca",0,0,0.047112462681757,0.00204290091930575
"Balantiopteryx_plicata","Balantiopteryx_plicata",0,0,0.047112462681757,0.00204290091930575
"Peropteryx_leucoptera","Peropteryx_leucoptera",0,0,0.047112462681757,0.00204290091930575
"Peropteryx_kappleri","Peropteryx_kappleri",0,0,0.047112462681757,0.00204290091930575
"Peropteryx_macrotis","Peropteryx_macrotis",0,0,0.047112462681757,0.00204290091930575
"Peropteryx_trinitatis","Peropteryx_trinitatis",0,0,0.047112462681757,0.00204290091930575
"Craseonycteris_thonglongyai","Craseonycteris_thonglongyai",0,0,0.047112462681757,0.00204290091930575
"Rhinopoma_hardwickii","Rhinopoma_hardwickii",1,0,0.047112462681757,0.00204290091930575
"Rhinopoma_macinnesi","Rhinopoma_macinnesi",0,0,0.047112462681757,0.00204290091930575
"Rhinopoma_microphyllum","Rhinopoma_microphyllum",0,0,0.047112462681757,0.00204290091930575
