"","tree","bats"
"772","Coendou_bicolor","other"
"773","Coendou_nycthemera","other"
"774","Coendou_prehensilis","other"
"775","Coendou_rothschildi","other"
"776","Coleura_afra","bats"
"777","Coleura_seychellensis","bats"
"778","Colobus_angolensis","other"
"779","Colobus_guereza","other"
"780","Colobus_polykomos","other"
"781","Colobus_satanas","other"
"782","Colobus_vellerosus","other"
"783","Colomys_goslingi","other"
"784","Condylura_cristata","other"
"785","Conepatus_chinga","other"
"786","Conepatus_humboldtii","other"
"787","Conepatus_leuconotus","other"
"788","Conepatus_semistriatus","other"
"789","Congosorex_polli","other"
"790","Conilurus_penicillatus","other"
"791","Connochaetes_gnou","other"
"792","Connochaetes_taurinus","other"
"793","Cormura_brevirostris","bats"
